g	12	1	-0.2	0.0
h	12	1	-1.1	0.0
g	12	2	0.4	0.0
h	12	2	0.4	0.0
g	12	3	1.2	0.0
h	12	3	1.9	0.0
g	12	4	-0.8	0.0
h	12	4	-2.2	0.0
g	12	5	0.9	0.0
h	12	5	0.3	0.0
g	12	6	0.1	0.0
h	12	6	0.7	0.0
g	12	7	0.5	0.0
h	12	7	-0.1	0.0
g	12	8	-0.3	0.0
h	12	8	0.3	0.0
g	12	9	-0.4	0.0
h	12	9	0.2	0.0
g	12	10	0.2	0.0
h	12	10	-0.9	0.0
g	12	11	-0.9	0.0
h	12	11	-0.1	0.0
g	12	12	0.0	0.0
h	12	12	0.7	0.0
g	13	0	0.0	0.0
g	13	1	-0.9	0.0
h	13	1	-0.9	0.0
g	13	2	0.4	0.0
h	13	2	0.4	0.0
g	13	3	0.5	0.0
h	13	3	1.6	0.0
g	13	4	-0.5	0.0
h	13	4	-0.5	0.0
g	13	5	1.0	0.0
h	13	5	-1.2	0.0
g	13	6	-0.2	0.0
h	13	6	-0.1	0.0
g	13	7	0.8	0.0
h	13	7	0.4	0.0
g	13	8	-0.1	0.0
h	13	8	-0.1	0.0
g	13	9	0.3	0.0
h	13	9	0.4	0.0
g	13	10	0.1	0.0
h	13	10	0.5	0.0
g	13	11	0.5	0.0
h	13	11	-0.3	0.0
g	13	12	-0.4	0.0
h	13	12	-0.4	0.0
g	13	13	-0.3	0.0
h	13	13	-0.8	0.0
