1	0	0	0
1	1	4797.1	-26.6
2	0	0	0
2	1	-4928.7	-47.458
2	2	-555.9	-12.211
3	0	0	0
3	1	-353.03	25.107
3	2	474.25	-0.7746
3	3	-425.64	1.423
4	0	0	0
4	1	1567.8	-7.1942
4	2	-738.41	20.74
4	3	378.38	6.0658
4	4	-243.67	-3.8455
5	0	0	0
5	1	480.88	6.0999
5	2	1514	13.065
5	3	-561.45	-5.6475
5	4	35.496	7.543
5	5	70.296	0
6	0	0	0
6	1	-393.18	0
6	2	496.15	-31.383
6	3	586.81	-6.974
6	4	-363.97	1.0914
6	5	16.986	2.0941
6	6	42.048	0.67169
7	0	0	0
7	1	-1918.9	28.376
7	2	-564.74	11.584
7	3	116.73	-4.0957
7	4	301.31	-3.7047
7	5	20.993	-3.7047
7	6	-66.358	0.24218
7	7	-1.424	-0.12945
8	0	0	0
8	1	677.02	-20.109
8	2	-1026.3	16.825
8	3	550.88	4.142
8	4	-390.35	13.368
8	5	240.26	-2.9661
8	6	39.132	-2.0596
8	7	-22.812	0.75205
8	8	1.3161	0
9	0	0	0
9	1	-2751.9	0
9	2	1173.4	0
9	3	979.2	0
9	4	-383.36	0
9	5	-232.47	0
9	6	135.7	0
9	7	7.5335	0
9	8	-10.336	0
9	9	5.116	0
10	0	0	0
10	1	778.52	0
10	2	-84.277	0
10	3	760.29	0
10	4	514.23	0
10	5	-583.93	0
10	6	-24.792	0
10	7	-84.181	0
10	8	-22.911	0
10	9	-3.1857	0
10	10	-5.1646	0
11	0	0	0
11	1	-46.639	0
11	2	818.1	0
11	3	-229.58	0
11	4	-263.47	0
11	5	126.74	0
11	6	-18.824	0
11	7	-109.13	0
11	8	-31.864	0
11	9	-22.037	0
11	10	-5.4407	0
11	11	-1.392	0
12	0	0	0
12	1	-986.73	0
12	2	318.05	0
12	3	1233.5	0
12	4	-1071.2	0
12	5	100.21	0
12	6	145.81	0
12	7	-11.705	0
12	8	17.558	0
12	9	5.1087	0
12	10	-8.4892	0
12	11	-0.27815	0
12	12	0.39744	0
13	0	0	0
13	1	-1557.2	0
13	2	619.01	0
13	3	2053	0
13	4	-492.06	0
13	5	-835.05	0
13	6	-45.155	0
13	7	106.86	0
13	8	-14.279	0
13	9	27.229	0
13	10	14.194	0
13	11	-3.011	0
13	12	-1.1355	0
13	13	-0.44539	0
